tvmgen_default_fused_negative_4                   267.30     0.06    cpu0     24                                                  float32[1024], float32[1024]  0766edcd014d1e6f                                                  
tvmgen_default_fused_nn_relu_4                    264.34     0.06    cpu0      4                              float32[1, 512, 28, 28], float32[1, 512, 28, 28]  a10fb7f10331e950                                                  
tvmgen_default_fused_multiply_7                   255.15     0.05    cpu0     22                                      float32[512], float32[512], float32[512]  26dd3c4dd7504e80                                                  
tvmgen_default_fused_nn_relu                      225.67     0.05    cpu0      1                            float32[1, 64, 112, 112], float32[1, 64, 112, 112]  ad0ba631890195c8                                                  
tvmgen_default_fused_nn_bias_add                  216.97     0.05    cpu0      3                   float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]  0af568e9467d38ce                                                  
tvmgen_default_fused_multiply_2                   211.69     0.05    cpu0      6             float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]  cc2d5f77f27da186                                                  
tvmgen_default_fused_nn_relu_1                    190.27     0.04    cpu0      6                                float32[1, 64, 56, 56], float32[1, 64, 56, 56]  c450efad7d659fca                                                  
tvmgen_default_fused_add_3                        188.35     0.04    cpu0      6             float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]  ba5d4a9c77633668                                                  
tvmgen_default_fused_multiply_5                   186.67     0.04    cpu0     16                                      float32[128], float32[128], float32[128]  9fffdd7c9ec88ea4                                                  
tvmgen_default_fused_nn_relu_3                    177.83     0.04    cpu0      8                              float32[1, 128, 28, 28], float32[1, 128, 28, 28]  ad9e375b69967565                                                  
tvmgen_default_fused_multiply_6                   171.43     0.04    cpu0      8          float32[1, 128, 28, 28], float32[128, 1, 1], float32[1, 128, 28, 28]  8c913d0934b86470                                                  
tvmgen_default_fused_multiply                     169.20     0.04    cpu0     14                                         float32[64], float32[64], float32[64]  e0edc3df26e09ee4                                                  
tvmgen_default_fused_add_10                       165.64     0.04    cpu0      8          float32[1, 128, 28, 28], float32[128, 1, 1], float32[1, 128, 28, 28]  fd7443ea4c736fd4                                                  
tvmgen_default_fused_add_11                       161.08     0.03    cpu0     11                                         float32[512], float32[], float32[512]  396791ebcb34dcef                                                  
tvmgen_default_fused_rsqrt_3                      146.66     0.03    cpu0     11                                                    float32[512], float32[512]  fb1bb5a33562d902                                                  
__nop                                             132.78     0.03    cpu0    100                                              float32[256], float32[256, 1, 1]  32d9488c242b5d38                                                  
tvmgen_default_fused_negative_3                   130.82     0.03    cpu0     11                                                    float32[512], float32[512]  60a42973881b9784                                                  
tvmgen_default_fused_nn_bias_add_2                130.39     0.03    cpu0      4                float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]  955e212d83ef6da9                                                  
tvmgen_default_fused_add_12                       125.05     0.03    cpu0     11                                      float32[512], float32[512], float32[512]  0ea50e451167174d                                                  
tvmgen_default_fused_multiply_14                  123.79     0.03    cpu0      4           float32[1, 2048, 7, 7], float32[2048, 1, 1], float32[1, 2048, 7, 7]  090109d2aa325539                                                  
tvmgen_default_fused_nn_bias_add_7                116.15     0.03    cpu0      3                 float32[1, 2048, 7, 7], float32[2048], float32[1, 2048, 7, 7]  f5d26b3be5644931                                                  
tvmgen_default_fused_add_8                        104.60     0.02    cpu0      8                                         float32[128], float32[], float32[128]  6f72496bc2887ba0                                                  
tvmgen_default_fused_add_24                       103.74     0.02    cpu0      3        float32[1, 2048, 7, 7], float32[1, 2048, 7, 7], float32[1, 2048, 7, 7]  80c5a55a7396555c                                                  
tvmgen_default_fused_rsqrt_2                       99.07     0.02    cpu0      8                                                    float32[128], float32[128]  fd6780abbe38afa4                                                  
tvmgen_default_fused_multiply_12                   98.92     0.02    cpu0      6              float32[1, 512, 7, 7], float32[512, 1, 1], float32[1, 512, 7, 7]  7789e75dc27f56b9                                                  
tvmgen_default_fused_add                           95.89     0.02    cpu0      7                                           float32[64], float32[], float32[64]  197ccb2df7f3b997                                                  
tvmgen_default_fused_add_9                         95.09     0.02    cpu0      8                                      float32[128], float32[128], float32[128]  7b489ee143878bd5                                                  
tvmgen_default_fused_nn_relu_7                     92.39     0.02    cpu0      6                                  float32[1, 512, 7, 7], float32[1, 512, 7, 7]  a1954a0a85bff395                                                  
tvmgen_default_fused_multiply_13                   91.93     0.02    cpu0      8                                   float32[2048], float32[2048], float32[2048]  d17cf1d4575b1e48                                                  
tvmgen_default_fused_negative                      90.92     0.02    cpu0      7                                                      float32[64], float32[64]  d04b57b56f6fb8d9                                                  
tvmgen_default_fused_negative_2                    88.80     0.02    cpu0      8                                                    float32[128], float32[128]  6ae7531d9346f45d                                                  
tvmgen_default_fused_add_20                        88.09     0.02    cpu0      6              float32[1, 512, 7, 7], float32[512, 1, 1], float32[1, 512, 7, 7]  7e01b57bf244e4fb                                                  
tvmgen_default_fused_add_23                        87.87     0.02    cpu0      4           float32[1, 2048, 7, 7], float32[2048, 1, 1], float32[1, 2048, 7, 7]  53e6a91d4a1c6002                                                  
tvmgen_default_fused_rsqrt                         83.94     0.02    cpu0      7                                                      float32[64], float32[64]  8d5cf62138ae1190                                                  
tvmgen_default_fused_add_1                         75.36     0.02    cpu0      7                                         float32[64], float32[64], float32[64]  250742176c8d9a41                                                  
tvmgen_default_fused_add_21                        67.30     0.01    cpu0      4                                       float32[2048], float32[], float32[2048]  30a428ebb4c806d6                                                  
tvmgen_default_fused_nn_relu_8                     63.94     0.01    cpu0      3                                float32[1, 2048, 7, 7], float32[1, 2048, 7, 7]  b6a6d64473439922                                                  
tvmgen_default_fused_rsqrt_5                       63.01     0.01    cpu0      4                                                  float32[2048], float32[2048]  06034a2e1f1fb1b4                                                  
tvmgen_default_fused_nn_bias_add_6                 62.54     0.01    cpu0      3                    float32[1, 512, 7, 7], float32[512], float32[1, 512, 7, 7]  60df6a36d325b2f6                                                  
tvmgen_default_fused_nn_global_avg_pool2d          47.25     0.01    cpu0      1                                float32[1, 2048, 7, 7], float32[1, 2048, 1, 1]  0fc63dbbb8800f8c                                NCHW              
__nop                                              46.88     0.01    cpu0     48                                            float32[1024], float32[1024, 1, 1]  3963ce52f8cfcb50                                                  
tvmgen_default_fused_add_22                        45.53     0.01    cpu0      4                                   float32[2048], float32[2048], float32[2048]  8f0ffc8df2b69903                                                  
tvmgen_default_fused_negative_5                    45.18     0.01    cpu0      4                                                  float32[2048], float32[2048]  b78e6fec5ec139dc                                                  
__nop                                              19.10     0.00    cpu0     22                                              float32[512], float32[512, 1, 1]  a9df7ea5f2c32b6d                                                  
__nop                                              13.96     0.00    cpu0     16                                              float32[128], float32[128, 1, 1]  347820212ea67087                                                  
__nop                                              11.97     0.00    cpu0     14                                                float32[64], float32[64, 1, 1]  7f4ed7b04b5a58dd                                                  
__nop                                               7.16     0.00    cpu0      8                                            float32[2048], float32[2048, 1, 1]  0275b731a1f276ce                                                  
tvmgen_default_fused_add_25                         1.99     0.00    cpu0      1                             float32[1, 1000], float32[1000], float32[1, 1000]  cdf93cc9b3c4974f                                                  
__nop                                               0.76     0.00    cpu0      1                                      float32[1, 2048, 1, 1], float32[1, 2048]  18a21bd53000e5fc                                                  
----------                                                                                                                                                                                                                        
Sum                                           448,495.83    96.66          1,348                                                                                                                                                  
Total                                         463,991.14             cpu0      1                                                                                                                                                  

Configuration
-------------
Number of threads: 4
Executor: Graph
